[seq_id=1] agent_inference: LNA=1, Filter=0, Mixer=-1.589dBm, IFAmp=4.501dB, EVM=99.978%, Status=0
[seq_id=903] agent_inference: LNA=1, Filter=0, Mixer=-2.481dBm, IFAmp=10.766dB, EVM=99.645%, Status=0
[seq_id=904] agent_inference: LNA=1, Filter=0, Mixer=-1.620dBm, IFAmp=4.258dB, EVM=99.955%, Status=0
[seq_id=905] agent_inference: LNA=1, Filter=0, Mixer=-1.485dBm, IFAmp=4.391dB, EVM=99.928%, Status=0
[seq_id=906] agent_inference: LNA=1, Filter=0, Mixer=-1.519dBm, IFAmp=4.352dB, EVM=99.909%, Status=0
[seq_id=907] agent_inference: LNA=1, Filter=0, Mixer=-1.404dBm, IFAmp=4.632dB, EVM=99.855%, Status=0
[seq_id=908] agent_inference: LNA=1, Filter=0, Mixer=-1.441dBm, IFAmp=4.757dB, EVM=99.824%, Status=0
[seq_id=909] agent_inference: LNA=1, Filter=0, Mixer=-1.716dBm, IFAmp=5.536dB, EVM=99.709%, Status=0
[seq_id=910] agent_inference: LNA=1, Filter=0, Mixer=-1.764dBm, IFAmp=5.622dB, EVM=99.641%, Status=0
[seq_id=911] agent_inference: LNA=1, Filter=0, Mixer=-2.082dBm, IFAmp=6.217dB, EVM=99.430%, Status=0
[seq_id=912] agent_inference: LNA=1, Filter=0, Mixer=-2.126dBm, IFAmp=6.170dB, EVM=99.281%, Status=0
[seq_id=913] agent_inference: LNA=1, Filter=0, Mixer=-2.686dBm, IFAmp=6.514dB, EVM=98.874%, Status=0
[seq_id=914] agent_inference: LNA=1, Filter=0, Mixer=-2.856dBm, IFAmp=6.359dB, EVM=98.572%, Status=0
[seq_id=915] agent_inference: LNA=1, Filter=0, Mixer=-3.473dBm, IFAmp=6.914dB, EVM=97.699%, Status=0
[seq_id=916] agent_inference: LNA=1, Filter=0, Mixer=-3.490dBm, IFAmp=6.754dB, EVM=97.092%, Status=0
[seq_id=917] agent_inference: LNA=1, Filter=0, Mixer=-3.793dBm, IFAmp=7.285dB, EVM=95.455%, Status=0
[seq_id=918] agent_inference: LNA=1, Filter=0, Mixer=-3.765dBm, IFAmp=7.006dB, EVM=94.296%, Status=0
[seq_id=919] agent_inference: LNA=1, Filter=0, Mixer=-3.520dBm, IFAmp=6.898dB, EVM=90.914%, Status=0
[seq_id=920] agent_inference: LNA=1, Filter=0, Mixer=-3.367dBm, IFAmp=6.345dB, EVM=88.871%, Status=0
[seq_id=921] agent_inference: LNA=1, Filter=0, Mixer=1.344dBm, IFAmp=14.470dB, EVM=98.170%, Status=0
[seq_id=922] agent_inference: LNA=1, Filter=0, Mixer=1.644dBm, IFAmp=14.235dB, EVM=97.703%, Status=0
[seq_id=923] agent_inference: LNA=1, Filter=0, Mixer=0.928dBm, IFAmp=15.964dB, EVM=96.373%, Status=0
[seq_id=924] agent_inference: LNA=1, Filter=0, Mixer=1.350dBm, IFAmp=15.645dB, EVM=95.482%, Status=0
[seq_id=925] agent_inference: LNA=1, Filter=0, Mixer=-2.288dBm, IFAmp=10.297dB, EVM=99.424%, Status=0
[seq_id=926] agent_inference: LNA=1, Filter=0, Mixer=-1.949dBm, IFAmp=10.660dB, EVM=99.086%, Status=0
[seq_id=927] agent_inference: LNA=1, Filter=0, Mixer=-1.920dBm, IFAmp=10.500dB, EVM=98.850%, Status=0
[seq_id=928] agent_inference: LNA=1, Filter=0, Mixer=-0.740dBm, IFAmp=9.892dB, EVM=98.187%, Status=0
[seq_id=929] agent_inference: LNA=1, Filter=0, Mixer=-0.587dBm, IFAmp=9.643dB, EVM=97.693%, Status=0
[seq_id=930] agent_inference: LNA=1, Filter=0, Mixer=2.506dBm, IFAmp=8.119dB, EVM=96.378%, Status=0
[seq_id=931] agent_inference: LNA=1, Filter=0, Mixer=-1.058dBm, IFAmp=3.320dB, EVM=99.855%, Status=0
[seq_id=932] agent_inference: LNA=1, Filter=0, Mixer=-0.849dBm, IFAmp=3.587dB, EVM=99.772%, Status=0
[seq_id=933] agent_inference: LNA=1, Filter=0, Mixer=-0.687dBm, IFAmp=3.394dB, EVM=99.713%, Status=0
[seq_id=934] agent_inference: LNA=1, Filter=0, Mixer=-0.528dBm, IFAmp=3.899dB, EVM=99.543%, Status=0
[seq_id=935] agent_inference: LNA=1, Filter=0, Mixer=-0.330dBm, IFAmp=3.866dB, EVM=99.424%, Status=0
[seq_id=936] agent_inference: LNA=1, Filter=0, Mixer=-0.092dBm, IFAmp=4.009dB, EVM=99.085%, Status=0
[seq_id=937] agent_inference: LNA=1, Filter=0, Mixer=0.233dBm, IFAmp=3.867dB, EVM=98.847%, Status=0
[seq_id=938] agent_inference: LNA=1, Filter=0, Mixer=-0.209dBm, IFAmp=3.922dB, EVM=98.169%, Status=0
[seq_id=939] agent_inference: LNA=1, Filter=0, Mixer=-0.150dBm, IFAmp=3.759dB, EVM=97.729%, Status=0
[seq_id=940] agent_inference: LNA=1, Filter=0, Mixer=-1.065dBm, IFAmp=3.739dB, EVM=96.380%, Status=0
[seq_id=941] agent_inference: LNA=1, Filter=0, Mixer=-0.914dBm, IFAmp=11.563dB, EVM=99.548%, Status=0
[seq_id=942] agent_inference: LNA=1, Filter=0, Mixer=1.652dBm, IFAmp=10.555dB, EVM=99.284%, Status=0
[seq_id=943] agent_inference: LNA=1, Filter=0, Mixer=2.214dBm, IFAmp=10.185dB, EVM=99.093%, Status=0
[seq_id=944] agent_inference: LNA=1, Filter=0, Mixer=4.652dBm, IFAmp=9.357dB, EVM=98.576%, Status=0
[seq_id=945] agent_inference: LNA=1, Filter=0, Mixer=4.996dBm, IFAmp=8.878dB, EVM=98.184%, Status=0
[seq_id=946] agent_inference: LNA=1, Filter=0, Mixer=-1.662dBm, IFAmp=6.645dB, EVM=99.774%, Status=0
[seq_id=947] agent_inference: LNA=1, Filter=0, Mixer=-2.024dBm, IFAmp=7.434dB, EVM=99.639%, Status=0
[seq_id=948] agent_inference: LNA=1, Filter=0, Mixer=-2.097dBm, IFAmp=7.464dB, EVM=99.548%, Status=0
[seq_id=949] agent_inference: LNA=1, Filter=0, Mixer=-2.374dBm, IFAmp=8.206dB, EVM=99.288%, Status=0
[seq_id=950] agent_inference: LNA=1, Filter=0, Mixer=-2.589dBm, IFAmp=8.100dB, EVM=99.100%, Status=0
[seq_id=951] agent_inference: LNA=1, Filter=0, Mixer=-3.076dBm, IFAmp=8.760dB, EVM=98.567%, Status=0
[seq_id=952] agent_inference: LNA=1, Filter=0, Mixer=-3.281dBm, IFAmp=8.689dB, EVM=98.209%, Status=0
[seq_id=953] agent_inference: LNA=1, Filter=0, Mixer=-3.283dBm, IFAmp=9.059dB, EVM=97.142%, Status=0
[seq_id=954] agent_inference: LNA=1, Filter=0, Mixer=-3.384dBm, IFAmp=8.800dB, EVM=96.411%, Status=0
[seq_id=1] agent_inference: LNA=1, Filter=0, Mixer=0.294dBm, IFAmp=16.702dB, EVM=97.534%, Status=0
[seq_id=2] agent_inference: LNA=1, Filter=0, Mixer=0.258dBm, IFAmp=16.828dB, EVM=97.533%, Status=0
[seq_id=3] agent_inference: LNA=1, Filter=0, Mixer=0.285dBm, IFAmp=16.782dB, EVM=97.549%, Status=0
[seq_id=4] agent_inference: LNA=1, Filter=0, Mixer=0.256dBm, IFAmp=16.854dB, EVM=97.569%, Status=0
[seq_id=5] agent_inference: LNA=1, Filter=0, Mixer=0.250dBm, IFAmp=16.845dB, EVM=97.547%, Status=0
[seq_id=6] agent_inference: LNA=1, Filter=0, Mixer=0.286dBm, IFAmp=16.737dB, EVM=97.544%, Status=0
[seq_id=7] agent_inference: LNA=1, Filter=0, Mixer=0.277dBm, IFAmp=16.781dB, EVM=97.553%, Status=0
[seq_id=8] agent_inference: LNA=1, Filter=0, Mixer=0.267dBm, IFAmp=16.794dB, EVM=97.534%, Status=0
[seq_id=9] agent_inference: LNA=1, Filter=0, Mixer=0.278dBm, IFAmp=16.768dB, EVM=97.540%, Status=0
[seq_id=10] agent_inference: LNA=1, Filter=0, Mixer=0.274dBm, IFAmp=16.757dB, EVM=97.549%, Status=0
[seq_id=11] agent_inference: LNA=1, Filter=0, Mixer=0.274dBm, IFAmp=16.773dB, EVM=97.552%, Status=0
[seq_id=12] agent_inference: LNA=1, Filter=0, Mixer=0.289dBm, IFAmp=16.736dB, EVM=97.546%, Status=0
[seq_id=13] agent_inference: LNA=1, Filter=0, Mixer=0.278dBm, IFAmp=16.793dB, EVM=97.552%, Status=0
[seq_id=14] agent_inference: LNA=1, Filter=0, Mixer=0.265dBm, IFAmp=16.849dB, EVM=97.547%, Status=0
[seq_id=15] agent_inference: LNA=1, Filter=0, Mixer=0.270dBm, IFAmp=16.785dB, EVM=97.552%, Status=0
[seq_id=16] agent_inference: LNA=1, Filter=0, Mixer=0.264dBm, IFAmp=16.825dB, EVM=97.563%, Status=0
[seq_id=17] agent_inference: LNA=1, Filter=0, Mixer=0.277dBm, IFAmp=16.785dB, EVM=97.545%, Status=0
[seq_id=18] agent_inference: LNA=1, Filter=0, Mixer=0.283dBm, IFAmp=16.792dB, EVM=97.531%, Status=0
[seq_id=19] agent_inference: LNA=1, Filter=0, Mixer=0.266dBm, IFAmp=16.835dB, EVM=97.531%, Status=0
[seq_id=20] agent_inference: LNA=1, Filter=0, Mixer=0.281dBm, IFAmp=16.785dB, EVM=97.529%, Status=0
[seq_id=21] agent_inference: LNA=1, Filter=0, Mixer=0.256dBm, IFAmp=16.822dB, EVM=97.540%, Status=0
[seq_id=22] agent_inference: LNA=1, Filter=0, Mixer=0.273dBm, IFAmp=16.838dB, EVM=97.530%, Status=0
[seq_id=23] agent_inference: LNA=1, Filter=0, Mixer=0.275dBm, IFAmp=16.819dB, EVM=97.532%, Status=0
[seq_id=24] agent_inference: LNA=1, Filter=0, Mixer=0.255dBm, IFAmp=16.821dB, EVM=97.557%, Status=0
[seq_id=25] agent_inference: LNA=1, Filter=0, Mixer=0.279dBm, IFAmp=16.785dB, EVM=97.561%, Status=0
[seq_id=26] agent_inference: LNA=1, Filter=0, Mixer=0.256dBm, IFAmp=16.872dB, EVM=97.539%, Status=0
[seq_id=27] agent_inference: LNA=1, Filter=0, Mixer=0.263dBm, IFAmp=16.843dB, EVM=97.569%, Status=0
[seq_id=28] agent_inference: LNA=1, Filter=0, Mixer=0.276dBm, IFAmp=16.800dB, EVM=97.534%, Status=0
[seq_id=29] agent_inference: LNA=1, Filter=0, Mixer=0.262dBm, IFAmp=16.770dB, EVM=97.533%, Status=0
[seq_id=30] agent_inference: LNA=1, Filter=0, Mixer=0.268dBm, IFAmp=16.769dB, EVM=97.549%, Status=0
[seq_id=31] agent_inference: LNA=1, Filter=0, Mixer=0.263dBm, IFAmp=16.808dB, EVM=97.539%, Status=0
[seq_id=32] agent_inference: LNA=1, Filter=0, Mixer=0.260dBm, IFAmp=16.801dB, EVM=97.540%, Status=0
[seq_id=33] agent_inference: LNA=1, Filter=0, Mixer=0.265dBm, IFAmp=16.825dB, EVM=97.540%, Status=0
[seq_id=34] agent_inference: LNA=1, Filter=0, Mixer=0.270dBm, IFAmp=16.779dB, EVM=97.572%, Status=0
[seq_id=35] agent_inference: LNA=1, Filter=0, Mixer=0.478dBm, IFAmp=16.861dB, EVM=97.560%, Status=0
[seq_id=36] agent_inference: LNA=1, Filter=0, Mixer=0.460dBm, IFAmp=16.925dB, EVM=97.565%, Status=0
[seq_id=37] agent_inference: LNA=1, Filter=0, Mixer=0.476dBm, IFAmp=16.931dB, EVM=97.556%, Status=0
[seq_id=38] agent_inference: LNA=1, Filter=0, Mixer=0.480dBm, IFAmp=16.845dB, EVM=97.579%, Status=0
[seq_id=39] agent_inference: LNA=1, Filter=0, Mixer=0.499dBm, IFAmp=16.886dB, EVM=97.587%, Status=0
[seq_id=40] agent_inference: LNA=1, Filter=0, Mixer=0.471dBm, IFAmp=16.952dB, EVM=97.568%, Status=0
[seq_id=41] agent_inference: LNA=1, Filter=0, Mixer=0.467dBm, IFAmp=16.893dB, EVM=97.551%, Status=0
[seq_id=42] agent_inference: LNA=1, Filter=0, Mixer=0.490dBm, IFAmp=16.869dB, EVM=97.579%, Status=0
[seq_id=43] agent_inference: LNA=1, Filter=0, Mixer=0.444dBm, IFAmp=16.961dB, EVM=97.557%, Status=0
[seq_id=44] agent_inference: LNA=1, Filter=0, Mixer=0.472dBm, IFAmp=16.948dB, EVM=97.571%, Status=0
[seq_id=45] agent_inference: LNA=1, Filter=0, Mixer=0.477dBm, IFAmp=16.819dB, EVM=97.560%, Status=0
[seq_id=46] agent_inference: LNA=1, Filter=0, Mixer=0.498dBm, IFAmp=16.855dB, EVM=97.581%, Status=0
[seq_id=47] agent_inference: LNA=1, Filter=0, Mixer=0.478dBm, IFAmp=16.886dB, EVM=97.565%, Status=0
[seq_id=48] agent_inference: LNA=1, Filter=0, Mixer=0.474dBm, IFAmp=16.898dB, EVM=97.566%, Status=0
[seq_id=49] agent_inference: LNA=1, Filter=0, Mixer=0.488dBm, IFAmp=16.876dB, EVM=97.567%, Status=0
[seq_id=50] agent_inference: LNA=1, Filter=0, Mixer=0.468dBm, IFAmp=16.879dB, EVM=97.575%, Status=0
[seq_id=51] agent_inference: LNA=1, Filter=0, Mixer=0.491dBm, IFAmp=16.855dB, EVM=97.592%, Status=0
[seq_id=52] agent_inference: LNA=1, Filter=0, Mixer=0.481dBm, IFAmp=16.820dB, EVM=97.586%, Status=0
[seq_id=53] agent_inference: LNA=1, Filter=0, Mixer=0.482dBm, IFAmp=16.908dB, EVM=97.567%, Status=0
[seq_id=54] agent_inference: LNA=1, Filter=0, Mixer=0.506dBm, IFAmp=16.830dB, EVM=97.579%, Status=0
[seq_id=55] agent_inference: LNA=1, Filter=0, Mixer=0.461dBm, IFAmp=16.938dB, EVM=97.569%, Status=0
[seq_id=56] agent_inference: LNA=1, Filter=0, Mixer=0.497dBm, IFAmp=16.843dB, EVM=97.571%, Status=0
[seq_id=57] agent_inference: LNA=1, Filter=0, Mixer=0.491dBm, IFAmp=16.871dB, EVM=97.567%, Status=0
[seq_id=58] agent_inference: LNA=1, Filter=0, Mixer=0.481dBm, IFAmp=16.904dB, EVM=97.583%, Status=0
[seq_id=59] agent_inference: LNA=1, Filter=0, Mixer=0.496dBm, IFAmp=16.874dB, EVM=97.578%, Status=0
[seq_id=60] agent_inference: LNA=1, Filter=0, Mixer=0.492dBm, IFAmp=16.851dB, EVM=97.580%, Status=0
[seq_id=61] agent_inference: LNA=1, Filter=0, Mixer=0.493dBm, IFAmp=16.874dB, EVM=97.577%, Status=0
[seq_id=62] agent_inference: LNA=1, Filter=0, Mixer=0.498dBm, IFAmp=16.950dB, EVM=97.576%, Status=0
[seq_id=63] agent_inference: LNA=1, Filter=0, Mixer=0.476dBm, IFAmp=16.819dB, EVM=97.568%, Status=0
[seq_id=64] agent_inference: LNA=1, Filter=0, Mixer=0.460dBm, IFAmp=16.952dB, EVM=97.560%, Status=0
[seq_id=65] agent_inference: LNA=1, Filter=0, Mixer=0.328dBm, IFAmp=16.559dB, EVM=97.556%, Status=0
[seq_id=66] agent_inference: LNA=1, Filter=0, Mixer=0.326dBm, IFAmp=16.560dB, EVM=97.565%, Status=0
[seq_id=67] agent_inference: LNA=1, Filter=0, Mixer=0.336dBm, IFAmp=16.531dB, EVM=97.535%, Status=0
[seq_id=68] agent_inference: LNA=1, Filter=0, Mixer=0.287dBm, IFAmp=16.653dB, EVM=97.539%, Status=0
[seq_id=69] agent_inference: LNA=1, Filter=0, Mixer=0.333dBm, IFAmp=16.561dB, EVM=97.546%, Status=0
[seq_id=70] agent_inference: LNA=1, Filter=0, Mixer=0.354dBm, IFAmp=16.497dB, EVM=97.601%, Status=0
[seq_id=71] agent_inference: LNA=1, Filter=0, Mixer=0.349dBm, IFAmp=16.503dB, EVM=97.583%, Status=0
[seq_id=72] agent_inference: LNA=1, Filter=0, Mixer=0.330dBm, IFAmp=16.559dB, EVM=97.562%, Status=0
[seq_id=73] agent_inference: LNA=1, Filter=0, Mixer=0.351dBm, IFAmp=16.550dB, EVM=97.552%, Status=0
[seq_id=74] agent_inference: LNA=1, Filter=0, Mixer=0.322dBm, IFAmp=16.570dB, EVM=97.572%, Status=0
[seq_id=75] agent_inference: LNA=1, Filter=0, Mixer=0.364dBm, IFAmp=16.506dB, EVM=97.550%, Status=0
[seq_id=76] agent_inference: LNA=1, Filter=0, Mixer=0.334dBm, IFAmp=16.557dB, EVM=97.543%, Status=0
[seq_id=77] agent_inference: LNA=1, Filter=0, Mixer=0.317dBm, IFAmp=16.616dB, EVM=97.562%, Status=0
[seq_id=78] agent_inference: LNA=1, Filter=0, Mixer=0.319dBm, IFAmp=16.586dB, EVM=97.592%, Status=0
[seq_id=79] agent_inference: LNA=1, Filter=0, Mixer=0.323dBm, IFAmp=16.562dB, EVM=97.579%, Status=0
[seq_id=80] agent_inference: LNA=1, Filter=0, Mixer=0.375dBm, IFAmp=16.469dB, EVM=97.576%, Status=0
[seq_id=81] agent_inference: LNA=1, Filter=0, Mixer=0.335dBm, IFAmp=16.541dB, EVM=97.581%, Status=0
[seq_id=82] agent_inference: LNA=1, Filter=0, Mixer=0.322dBm, IFAmp=16.581dB, EVM=97.577%, Status=0
[seq_id=83] agent_inference: LNA=1, Filter=0, Mixer=0.365dBm, IFAmp=16.513dB, EVM=97.579%, Status=0
[seq_id=84] agent_inference: LNA=1, Filter=0, Mixer=0.325dBm, IFAmp=16.565dB, EVM=97.566%, Status=0
[seq_id=85] agent_inference: LNA=1, Filter=0, Mixer=0.304dBm, IFAmp=16.627dB, EVM=97.552%, Status=0
[seq_id=86] agent_inference: LNA=1, Filter=0, Mixer=0.326dBm, IFAmp=16.553dB, EVM=97.552%, Status=0
[seq_id=87] agent_inference: LNA=1, Filter=0, Mixer=0.338dBm, IFAmp=16.530dB, EVM=97.545%, Status=0
[seq_id=88] agent_inference: LNA=1, Filter=0, Mixer=0.320dBm, IFAmp=16.573dB, EVM=97.556%, Status=0
[seq_id=89] agent_inference: LNA=1, Filter=0, Mixer=0.319dBm, IFAmp=16.555dB, EVM=97.540%, Status=0
[seq_id=90] agent_inference: LNA=1, Filter=0, Mixer=0.299dBm, IFAmp=16.626dB, EVM=97.588%, Status=0
[seq_id=91] agent_inference: LNA=1, Filter=0, Mixer=0.374dBm, IFAmp=16.469dB, EVM=97.590%, Status=0
[seq_id=92] agent_inference: LNA=1, Filter=0, Mixer=0.963dBm, IFAmp=15.453dB, EVM=97.241%, Status=0
[seq_id=93] agent_inference: LNA=1, Filter=0, Mixer=2.616dBm, IFAmp=13.281dB, EVM=96.618%, Status=0
[seq_id=94] agent_inference: LNA=1, Filter=0, Mixer=3.943dBm, IFAmp=11.292dB, EVM=95.734%, Status=0
[seq_id=95] agent_inference: LNA=1, Filter=0, Mixer=5.307dBm, IFAmp=9.041dB, EVM=93.829%, Status=0
[seq_id=96] agent_inference: LNA=1, Filter=0, Mixer=5.547dBm, IFAmp=8.079dB, EVM=93.245%, Status=0
[seq_id=97] agent_inference: LNA=1, Filter=0, Mixer=5.718dBm, IFAmp=6.156dB, EVM=90.251%, Status=0
[seq_id=98] agent_inference: LNA=1, Filter=0, Mixer=5.335dBm, IFAmp=5.462dB, EVM=87.820%, Status=0
[seq_id=99] agent_inference: LNA=1, Filter=0, Mixer=5.089dBm, IFAmp=5.130dB, EVM=86.148%, Status=0
[seq_id=100] agent_inference: LNA=1, Filter=0, Mixer=4.318dBm, IFAmp=4.412dB, EVM=82.680%, Status=0
[seq_id=101] agent_inference: LNA=1, Filter=0, Mixer=3.231dBm, IFAmp=3.181dB, EVM=78.202%, Status=0
[seq_id=102] agent_inference: LNA=1, Filter=0, Mixer=2.667dBm, IFAmp=2.552dB, EVM=76.095%, Status=0
[seq_id=103] agent_inference: LNA=1, Filter=0, Mixer=2.678dBm, IFAmp=2.525dB, EVM=75.755%, Status=0
[seq_id=104] agent_inference: LNA=1, Filter=0, Mixer=2.689dBm, IFAmp=2.416dB, EVM=75.679%, Status=0
[seq_id=105] agent_inference: LNA=1, Filter=0, Mixer=2.750dBm, IFAmp=2.410dB, EVM=75.526%, Status=0
[seq_id=106] agent_inference: LNA=1, Filter=0, Mixer=2.718dBm, IFAmp=2.444dB, EVM=75.586%, Status=0
[seq_id=107] agent_inference: LNA=1, Filter=0, Mixer=2.705dBm, IFAmp=2.514dB, EVM=75.894%, Status=0
[seq_id=108] agent_inference: LNA=1, Filter=0, Mixer=2.766dBm, IFAmp=2.539dB, EVM=75.491%, Status=0
[seq_id=109] agent_inference: LNA=1, Filter=0, Mixer=2.693dBm, IFAmp=2.594dB, EVM=75.985%, Status=0
[seq_id=110] agent_inference: LNA=1, Filter=0, Mixer=2.724dBm, IFAmp=2.518dB, EVM=75.588%, Status=0
[seq_id=111] agent_inference: LNA=1, Filter=0, Mixer=2.745dBm, IFAmp=2.433dB, EVM=75.561%, Status=0
[seq_id=112] agent_inference: LNA=1, Filter=0, Mixer=2.710dBm, IFAmp=2.567dB, EVM=75.869%, Status=0
[seq_id=113] agent_inference: LNA=1, Filter=0, Mixer=2.665dBm, IFAmp=2.492dB, EVM=75.594%, Status=0
[seq_id=114] agent_inference: LNA=1, Filter=0, Mixer=2.591dBm, IFAmp=2.650dB, EVM=76.349%, Status=0
[seq_id=115] agent_inference: LNA=1, Filter=0, Mixer=2.740dBm, IFAmp=2.485dB, EVM=75.585%, Status=0
[seq_id=116] agent_inference: LNA=1, Filter=0, Mixer=2.762dBm, IFAmp=2.465dB, EVM=75.488%, Status=0
[seq_id=117] agent_inference: LNA=1, Filter=0, Mixer=2.703dBm, IFAmp=2.518dB, EVM=75.639%, Status=0
[seq_id=118] agent_inference: LNA=1, Filter=0, Mixer=2.669dBm, IFAmp=2.582dB, EVM=75.845%, Status=0
[seq_id=119] agent_inference: LNA=1, Filter=0, Mixer=2.616dBm, IFAmp=2.593dB, EVM=76.193%, Status=0
[seq_id=120] agent_inference: LNA=1, Filter=0, Mixer=2.715dBm, IFAmp=2.531dB, EVM=75.563%, Status=0
[seq_id=121] agent_inference: LNA=1, Filter=0, Mixer=2.722dBm, IFAmp=2.478dB, EVM=75.692%, Status=0
[seq_id=122] agent_inference: LNA=1, Filter=0, Mixer=2.812dBm, IFAmp=2.431dB, EVM=75.461%, Status=0
[seq_id=123] agent_inference: LNA=1, Filter=0, Mixer=2.826dBm, IFAmp=2.413dB, EVM=75.295%, Status=0
[seq_id=124] agent_inference: LNA=1, Filter=0, Mixer=2.820dBm, IFAmp=2.340dB, EVM=75.038%, Status=0
[seq_id=125] agent_inference: LNA=1, Filter=0, Mixer=2.739dBm, IFAmp=2.346dB, EVM=75.313%, Status=0
[seq_id=126] agent_inference: LNA=1, Filter=0, Mixer=2.816dBm, IFAmp=2.447dB, EVM=75.293%, Status=0
[seq_id=127] agent_inference: LNA=1, Filter=0, Mixer=2.690dBm, IFAmp=2.557dB, EVM=75.965%, Status=0
[seq_id=128] agent_inference: LNA=1, Filter=0, Mixer=2.776dBm, IFAmp=2.315dB, EVM=75.150%, Status=0
[seq_id=129] agent_inference: LNA=1, Filter=0, Mixer=2.755dBm, IFAmp=2.443dB, EVM=75.591%, Status=0
[seq_id=130] agent_inference: LNA=1, Filter=0, Mixer=2.695dBm, IFAmp=2.524dB, EVM=75.704%, Status=0
[seq_id=131] agent_inference: LNA=1, Filter=0, Mixer=2.763dBm, IFAmp=2.517dB, EVM=75.887%, Status=0
[seq_id=132] agent_inference: LNA=1, Filter=0, Mixer=2.809dBm, IFAmp=2.486dB, EVM=75.366%, Status=0
[seq_id=133] agent_inference: LNA=1, Filter=0, Mixer=2.731dBm, IFAmp=2.424dB, EVM=75.405%, Status=0
[seq_id=134] agent_inference: LNA=1, Filter=0, Mixer=2.737dBm, IFAmp=2.411dB, EVM=75.540%, Status=0
[seq_id=135] agent_inference: LNA=1, Filter=0, Mixer=2.758dBm, IFAmp=2.451dB, EVM=75.563%, Status=0
[seq_id=136] agent_inference: LNA=1, Filter=0, Mixer=2.758dBm, IFAmp=2.472dB, EVM=75.548%, Status=0
[seq_id=137] agent_inference: LNA=1, Filter=0, Mixer=2.753dBm, IFAmp=2.460dB, EVM=75.801%, Status=0
[seq_id=138] agent_inference: LNA=1, Filter=0, Mixer=2.824dBm, IFAmp=2.405dB, EVM=75.293%, Status=0
[seq_id=139] agent_inference: LNA=1, Filter=0, Mixer=2.732dBm, IFAmp=2.374dB, EVM=75.425%, Status=0
[seq_id=140] agent_inference: LNA=1, Filter=0, Mixer=2.688dBm, IFAmp=2.576dB, EVM=75.944%, Status=0
[seq_id=141] agent_inference: LNA=1, Filter=0, Mixer=2.667dBm, IFAmp=2.603dB, EVM=75.916%, Status=0
[seq_id=142] agent_inference: LNA=1, Filter=0, Mixer=2.671dBm, IFAmp=2.528dB, EVM=75.751%, Status=0
[seq_id=143] agent_inference: LNA=1, Filter=0, Mixer=2.690dBm, IFAmp=2.514dB, EVM=76.036%, Status=0
[seq_id=144] agent_inference: LNA=1, Filter=0, Mixer=2.774dBm, IFAmp=2.370dB, EVM=75.403%, Status=0
[seq_id=145] agent_inference: LNA=1, Filter=0, Mixer=2.685dBm, IFAmp=2.510dB, EVM=75.738%, Status=0
[seq_id=146] agent_inference: LNA=1, Filter=0, Mixer=2.755dBm, IFAmp=2.468dB, EVM=75.694%, Status=0
[seq_id=147] agent_inference: LNA=1, Filter=0, Mixer=2.777dBm, IFAmp=2.404dB, EVM=75.474%, Status=0
[seq_id=148] agent_inference: LNA=1, Filter=0, Mixer=2.722dBm, IFAmp=2.473dB, EVM=75.846%, Status=0
[seq_id=149] agent_inference: LNA=1, Filter=0, Mixer=2.708dBm, IFAmp=2.562dB, EVM=75.849%, Status=0
[seq_id=150] agent_inference: LNA=1, Filter=0, Mixer=2.717dBm, IFAmp=2.506dB, EVM=75.571%, Status=0
[seq_id=151] agent_inference: LNA=1, Filter=0, Mixer=2.644dBm, IFAmp=2.590dB, EVM=76.114%, Status=0
[seq_id=152] agent_inference: LNA=1, Filter=0, Mixer=2.724dBm, IFAmp=2.439dB, EVM=75.530%, Status=0
[seq_id=153] agent_inference: LNA=1, Filter=0, Mixer=2.766dBm, IFAmp=2.404dB, EVM=75.422%, Status=0
[seq_id=154] agent_inference: LNA=1, Filter=0, Mixer=2.688dBm, IFAmp=2.455dB, EVM=75.735%, Status=0
[seq_id=155] agent_inference: LNA=1, Filter=0, Mixer=2.704dBm, IFAmp=2.480dB, EVM=75.752%, Status=0
[seq_id=156] agent_inference: LNA=1, Filter=0, Mixer=2.778dBm, IFAmp=2.444dB, EVM=75.459%, Status=0
[seq_id=157] agent_inference: LNA=1, Filter=0, Mixer=2.746dBm, IFAmp=2.478dB, EVM=75.551%, Status=0
[seq_id=158] agent_inference: LNA=1, Filter=0, Mixer=2.651dBm, IFAmp=2.579dB, EVM=76.051%, Status=0
[seq_id=159] agent_inference: LNA=1, Filter=0, Mixer=2.696dBm, IFAmp=2.575dB, EVM=75.928%, Status=0
[seq_id=160] agent_inference: LNA=1, Filter=0, Mixer=2.772dBm, IFAmp=2.452dB, EVM=75.502%, Status=0
[seq_id=161] agent_inference: LNA=1, Filter=0, Mixer=2.739dBm, IFAmp=2.493dB, EVM=75.661%, Status=0
[seq_id=162] agent_inference: LNA=1, Filter=0, Mixer=2.696dBm, IFAmp=2.523dB, EVM=75.851%, Status=0
[seq_id=163] agent_inference: LNA=1, Filter=0, Mixer=3.125dBm, IFAmp=3.250dB, EVM=78.378%, Status=0
[seq_id=164] agent_inference: LNA=1, Filter=0, Mixer=3.786dBm, IFAmp=4.024dB, EVM=80.634%, Status=0
[seq_id=165] agent_inference: LNA=1, Filter=0, Mixer=4.686dBm, IFAmp=4.772dB, EVM=84.781%, Status=0
